"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
95,"084920501526","VUSE","ELCT CGRTT VAPOR TANK","ELCT CGRTT VAPOR TANK",2,2.45,4.9,"20.8","prefix11","4-minor",33387,0.817
96,"084920501522","VUSE","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",3,1.63,4.9,"20.8","prefix11","4-minor",33315,0.82
97,"085570400792","HAUS","HAUS ECSOC/E-CG TANK 2PK","HAUS ECSOC/E-CG TANK 2PK",2,14.99,29.987529,"4","prefix11","3-single-sibling",33298,0.822
98,"081764101801","KRAVE","KRAVE 1001 E-CG RFL","KRAVE 1001 E-CG RFL",3,2,6,"6","prefix8_percart","2-weak",33080,0.824
99,"081505802212","LOGIC","LOGIC LQD ECGT","LOGIC LQD ECGT",1,3,3,"18","prefix10","1-CHECK",32811,0.827
100,"088886130216","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"48","prefix11","5-ok",31938,0.829
101,"081505802265","LOGIC","ELCT CGRTT LIQUID CAPSULE","ELCT CGRTT LIQUID CAPSULE",1,3,3,"18","prefix11","5-ok",31322,0.831
102,"081068701690","NJOY","NJOY E-CGCM VANILLA BEAN RFL","NJOY E-CGCM VANILLA BEAN RFL",2,1,2,"30","prefix10","5-ok",29822,0.833
103,"081764101577","KRAVE","KRAVE E-CG TOB KING","KRAVE E-CG TOB KING",1,2,2,"18","prefix8+carts","3-single-sibling",29345,0.835
104,"084866604603","FINITI","FIN ECGVT VANILLA","FIN ECGVT VANILLA",2,2.4,4.8,"24","prefix11","5-ok",29266,0.837
105,"081990502560","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,2.6,2.6,"50","prefix11","5-ok",28698,0.839
106,"088796900986","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"20","prefix11","3-single-sibling",27971,0.841
107,"081764101580","KRAVE","KRAVE E-CG MN KING","KRAVE E-CG MN KING",1,2,2,"18","prefix8+carts","3-single-sibling",27833,0.843
108,"081505802006","LOGIC","LOGIC POWER E-CGC CHERRY","LOGIC POWER E-CGC CHERRY",3,0.45,1.35,"24","prefix11","4-minor",26888,0.845
109,"085570400757","HAUS","HAUS E-CG LIQUID ZOMBERRY","HAUS E-CG LIQUID ZOMBERRY",1,5,5,"18","prefix10","1-CHECK",26809,0.847
110,"081990502793","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,2.6,2.6,"50","prefix11","1-CHECK",26376,0.849
111,"081764101804","KRAVE","KRAVE 1001 E-CG MN RFL","KRAVE 1001 E-CG MN RFL",3,2,6,"6","prefix8_percart","2-weak",25047,0.851
112,"081990502791","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,2.6,2.6,"50","prefix11","1-CHECK",24022,0.852
113,"085438400469","LOGIC","LP ECGLC PLATINUM TOB","LP ECGLC PLATINUM TOB",5,1.45,7.25,"18","prefix10","1-CHECK",23271,0.854
114,"088796901124","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"24.8","prefix10","5-ok",22705,0.856
115,"081713502323","CUE","ELCT CGRTT LIQUID CARTRIDGE","ELCT CGRTT LIQUID CARTRIDGE",1,5,4.9979215,"6","prefix10","3-single-sibling",22524,0.857
116,"085570400861","MISTIC","MISTIC ECGT RFL","MISTIC ECGT RFL",1,10,10,"24","prefix10","5-ok",22502,0.859
117,"085570400702","MISTIC","MISTIC E-CG MN","MISTIC E-CG MN",1,5,5,"18","prefix11","1-CHECK",22289,0.86
118,"081649401348","NICOTEK","N-M-C E-CG","N-M-C E-CG",1,10,9.995843,"24","prefix8+carts","1-CHECK",21896,0.862
119,"081068701692","NJOY","NJOY E-CGCM POMEGRANATE RFL","NJOY E-CGCM POMEGRANATE RFL",2,1,2,"30","prefix10","5-ok",21812,0.863
120,"085001975203","PUUR VAPOR","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY CREAM 750 PUFFS BOX 1 COUNT",1,12,12,"13.5","prefix10","4-minor",21295,0.865
121,"081068701542","NJOY","NJOY E-CG MN KING","NJOY E-CG MN KING",5,1,5,"37.5","prefix11","5-ok",20990,0.866
122,"081505802236","LOGIC","LOGIC POWER ECGL CRG CHERRY","LOGIC POWER ECGL CRG CHERRY",1,2.4,2.4,"27","prefix11","1-CHECK",20972,0.868
123,"084866604604","FINITI","FIN ECGVT CHERRY","FIN ECGVT CHERRY",2,2.4,4.8,"24","prefix11","5-ok",20907,0.869
124,"084866604136","FINITI","FIN ECGVT BOLD MN","FIN ECGVT BOLD MN",1,1.75,1.75,"12.6","prefix8+carts","4-minor",20794,0.871
125,"085570400542","MISTIC","MISTIC 2.0 E-CG MN","MISTIC 2.0 E-CG MN",1,10,10,"24","prefix8+carts","1-CHECK",20595,0.872
