"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
105,"089961000212","CIGIREX","CIGIREX E-CGC REGULAR RFL","CIGIREX E-CGC REGULAR RFL",5,,,,"none","1-no-value",522,0.124
106,"002145800003","CLEAN CIG","CLEAN CIG E-CG REGULAR","CLEAN CIG E-CG REGULAR",1,,,,"none","1-no-value",485,0.124
107,"085609000317","ISMOK","ISMOK E-CGC MN/BT/ECC","ISMOK E-CGC MN/BT/ECC",2,,,,"none","1-no-value",481,0.124
108,"061772451156","SQUARE","SQ-DR E-CG LIQUID RYDGR","SQ-DR E-CG LIQUID RYDGR",1,,,,"none","1-no-value",479,0.124
109,"061772451131","SQUARE","SQ-DR E-CG LIQUID CMYK","SQ-DR E-CG LIQUID CMYK",1,,,,"none","1-no-value",469,0.124
110,"061772491336","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN MINTY MENTHOL 1000 PUFFS BOX 1 COUNT",1,,,,"none","1-no-value",453,0.124
111,"085124700303","MODERN SMOKE","MD-SMK E-CGCM MN","MD-SMK E-CGCM MN",5,,,,"none","1-no-value",448,0.124
112,"089961000210","CIGIREX","CIGIREX E-CG","CIGIREX E-CG",2,,,,"none","1-no-value",438,0.124
113,"089961000211","CIGIREX","CIGIREX E-CG MN","CIGIREX E-CG MN",2,,,,"none","1-no-value",437,0.124
114,"061772451132",,,,,,,,"none","1-no-value",436,0.124
115,"061772451153",,,,,,,,"none","1-no-value",436,0.124
116,"085003554337","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO VANILLA CUSTARD BOX 1 COUNT",1,,,,"none","1-no-value",436,0.124
117,"061772451138","SQUARE","SQ-DR E-CG LIQUID MML","SQ-DR E-CG LIQUID MML",1,,,,"none","1-no-value",434,0.125
118,"085436100482",,,,,,,,"none","1-no-value",400,0.125
119,"089961000213","CIGIREX","CIGIREX E-CGC RFL","CIGIREX E-CGC RFL",5,,,,"none","1-no-value",400,0.125
120,"085436100421",,,,,,,,"none","1-no-value",395,0.125
121,"065436770663","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR",1,,,,"none","1-no-value",391,0.125
122,"085682400258","ECO-CIGS","ECO-CIGS E-CGCM TOB RFL","ECO-CIGS E-CGCM TOB RFL",3,,,,"none","1-no-value",367,0.125
123,"085607300329",,,,,,,,"none","1-no-value",355,0.125
124,"085436100481",,,,,,,,"none","1-no-value",346,0.125
125,"073621120294","SMOKERS 1 CHOICE","S1C E-CG MN N-FL MEDIUM","S1C E-CG MN N-FL MEDIUM",1,,,,"none","1-no-value",344,0.125
126,"002145802000","CLEAN CIG","CLN-CG E-CGA MN","CLN-CG E-CGA MN",5,,,,"none","1-no-value",331,0.125
127,"065436770664","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN",1,,,,"none","1-no-value",329,0.125
128,"085436100420",,,,,,,,"none","1-no-value",321,0.125
129,"073621120264","SMOKERS 1 CHOICE","S1C E-CG MEDIUM","S1C E-CG MEDIUM",1,,,,"none","1-no-value",311,0.125
130,"085830200521","NE WHERE","NE WHERE ECGVT RFL","NE WHERE ECGVT RFL",1,,,,"none","1-no-value",300,0.125
131,"085436100424",,,,,,,,"none","1-no-value",297,0.125
132,"085607300328",,,,,,,,"none","1-no-value",289,0.125
133,"085436100422","NE WHERE","NE WHERE EHOK ORANGE CREAM","NE WHERE EHOK ORANGE CREAM",1,,,,"none","1-no-value",287,0.125
134,"065436704331","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR",1,,,,"none","1-no-value",280,0.125
135,"002145801075",,,,,,,,"none","1-no-value",269,0.125
136,"085308600483","CRISS-CROSS","CRISS-CROSS E-CG REGULAR","CRISS-CROSS E-CG REGULAR",1,,,,"none","1-no-value",258,0.125
137,"085436100423",,,,,,,,"none","1-no-value",256,0.125
138,"081022002111","ISMOKE VAPER TECH","IVPT E-CGC OGN RFL","IVPT E-CGC OGN RFL",5,,,,"none","1-no-value",254,0.125
139,"085682400218","ECO-CIGS","ECO-CIGS E-CG TF","ECO-CIGS E-CG TF",1,,,,"none","1-no-value",254,0.125
140,"085609000333","ISMOK","ISMOK E-CG MN RFL/ECC=","ISMOK E-CG MN RFL/ECC=",5,,,,"none","1-no-value",246,0.125
141,"081323902441","SPACE JAM","SPC JM-KGT AST 3'S","SPC JM-KGT AST 3'S",3,,,,"none","1-no-value",241,0.125
142,"085436100408",,,,,,,,"none","1-no-value",228,0.125
143,"081323902462","SPACE JAM","SPC JM E-CG LIQUID MTR MLK","SPC JM E-CG LIQUID MTR MLK",1,,,,"none","1-no-value",222,0.125
144,"081323902014","SPACE JAM","SPC JM E-CG LIQUID ASTRO","SPC JM E-CG LIQUID ASTRO",1,,,,"none","1-no-value",209,0.125
145,"085436100425","NE WHERE",,"NE WHERE EHOK GRAPE GATSBY",1,,,,"none","1-no-value",205,0.126
146,"085436100490","NE WHERE","NE WHERE E-CG LIQUID BGM","NE WHERE E-CG LIQUID BGM",1,,,,"none","1-no-value",203,0.126
147,"693728100036","VAPCIGS","VAPCIGS E-CGC","VAPCIGS E-CGC",14,,,,"none","1-no-value",203,0.126
148,"081323902013","SPACE JAM","SPC JM E-CG LIQUID ASTRO","SPC JM E-CG LIQUID ASTRO",1,,,,"none","1-no-value",199,0.126
149,"081323902463","SPACE JAM","SPC JM E-CG LIQUID MTR MLK","SPC JM E-CG LIQUID MTR MLK",1,,,,"none","1-no-value",198,0.126
150,"085682400217",,,,,,,,"none","1-no-value",191,0.126
151,"081342001169",,,,,,,,"none","1-no-value",190,0.126
152,"081022002113","ISMOKE VAPER TECH","IVPT E-CGC MN RFL","IVPT E-CGC MN RFL",5,,,,"none","1-no-value",187,0.126
153,"081323902002","SPACE JAM","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA",1,,,,"none","1-no-value",187,0.126
154,"085143800755","JAK","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT",1,,,,"none","1-no-value",185,0.126
155,"085830200500","NE WHERE","NE WHERE E-CG LIQUID MN","NE WHERE E-CG LIQUID MN",1,,,,"none","1-no-value",179,0.126
156,"085436100458","NE WHERE","NE WHERE E-CG LIQUID SR APTN","NE WHERE E-CG LIQUID SR APTN",1,,,,"none","1-no-value",178,0.126
157,"085436100467","NE WHERE","NE WHERE E-CG LIQUID GGSB","NE WHERE E-CG LIQUID GGSB",1,,,,"none","1-no-value",177,0.126
158,"075166716631","EZ CIG","EZ CIG E-CG WB","EZ CIG E-CG WB",1,,,,"none","1-no-value",175,0.126
159,"085436100465","NE WHERE","NE WHERE E-CG LIQUID ISSQ","NE WHERE E-CG LIQUID ISSQ",1,,,,"none","1-no-value",170,0.126
160,"085604000326",,,,,,,,"none","1-no-value",169,0.126
161,"085830200503","NE WHERE","NE WHERE E-CG LIQUID PICO","NE WHERE E-CG LIQUID PICO",1,,,,"none","1-no-value",168,0.126
162,"085830200514","NE WHERE","NE WHERE E-CG LIQUID VANILLA","NE WHERE E-CG LIQUID VANILLA",1,,,,"none","1-no-value",164,0.126
163,"081323902001","SPACE JAM","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA",1,,,,"none","1-no-value",163,0.126
164,"085436100499","NE WHERE","NE WHERE E-CG LIQUID CHERRY","NE WHERE E-CG LIQUID CHERRY",1,,,,"none","1-no-value",162,0.126
165,"085436100496","NE WHERE","NE WHERE E-CG LIQUID BB","NE WHERE E-CG LIQUID BB",1,,,,"none","1-no-value",157,0.126
166,"075166716627","EZ CIG","EZ CIG E-CG WG","EZ CIG E-CG WG",1,,,,"none","1-no-value",155,0.126
167,"085830200509","NE WHERE","NE WHERE E-CG LIQUID TOB","NE WHERE E-CG LIQUID TOB",1,,,,"none","1-no-value",154,0.126
168,"079357311753",,,,,,,,"none","1-no-value",153,0.126
169,"085436100495","NE WHERE","NE WHERE E-CG LIQUID EGV","NE WHERE E-CG LIQUID EGV",1,,,,"none","1-no-value",153,0.126
170,"081323902062","SPACE JAM","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO",1,,,,"none","1-no-value",152,0.126
171,"081066902112",,,,,,,,"none","1-no-value",151,0.126
172,"065436704332","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR",1,,,,"none","1-no-value",150,0.126
173,"075166716619","EZ CIG","EZ CIG E-CG VANILLA","EZ CIG E-CG VANILLA",1,,,,"none","1-no-value",149,0.126
174,"085830200528","NE WHERE","NE WHERE E-CG LIQUID BAMA","NE WHERE E-CG LIQUID BAMA",1,,,,"none","1-no-value",146,0.126
175,"065436704335","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN",1,,,,"none","1-no-value",143,0.126
176,"081323902061","SPACE JAM","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO",1,,,,"none","1-no-value",143,0.126
177,"085308600485","CRISS-CROSS","CRISS-CROSS E-CG MN","CRISS-CROSS E-CG MN",1,,,,"none","1-no-value",141,0.126
178,"085436100419",,,,,,,,"none","1-no-value",139,0.126
179,"081066902114",,,,,,,,"none","1-no-value",138,0.126
180,"081836802784",,,,,,,,"none","1-no-value",138,0.126
181,"085830200506","NE WHERE","NE WHERE E-CG LIQUID P-L","NE WHERE E-CG LIQUID P-L",1,,,,"none","1-no-value",137,0.126
182,"085830200520","NE WHERE","NE WHERE E-CG LIQUID STMT","NE WHERE E-CG LIQUID STMT",1,,,,"none","1-no-value",136,0.126
183,"693728100022","NBL-NCL","NBL-NCL E-CG","NBL-NCL E-CG",5,,,,"none","1-no-value",133,0.126
184,"079357310108",,,,,,,,"none","1-no-value",132,0.126
185,"061645399354","SQUARE","SQUARE LVP P-SN XL","SQUARE LVP P-SN XL",1,,,,"none","1-no-value",131,0.126
186,"061772491329",,,,,,,,"none","1-no-value",131,0.126
187,"085003554362","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINK SQUARES BOX 1 COUNT",1,,,,"none","1-no-value",130,0.126
